,Year,Player,PF,PTS
7834,1985,Charlie Sitton,50,91
13571,1998,Duane Ferrell,50,94
7823,1985,Wayne Sappleton,50,96
16014,2003,John Amaechi,50,99
16354,2003,Scot Pollard,50,103
14712,2000,Popeye Jones,50,104
1012,1955,Jim Tucker,50,105
17006,2004,Nikoloz Tskitishvili,50,106
20850,2011,Kosta Koufos,50,106
2061,1964,Larry Staverman,50,114
10040,1991,Winston Bennett,50,115
14382,1999,Reggie Slater,50,115
22806,2014,Hedo Turkoglu,50,115
24231,2017,Toney Douglas,50,117
1804,1962,Bob Wiesenhahn,50,119
3448,1972,Jim Marsh,50,119
3721,1973,Eddie Mast,50,119
17543,2005,Donta Smith,50,127
14540,2000,Jud Buechler,50,130
4843,1977,Bob Love,50,131
12028,1995,Byron Houston,50,132
3336,1972,Bill Bridges,50,133
9414,1989,David Rivers,50,134
725,1953,Jim Mooney,50,135
9708,1990,Gerald Henderson,50,135
16778,2004,Brevin Knight,50,136
19835,2009,Joe Smith,50,136
3411,1972,Greg Howard,50,139
12902,1997,Jud Buechler,50,139
1599,1961,Archie Dees,50,145
19324,2008,Shelden Williams,50,146
3398,1972,Jeff Halliburton,50,147
10634,1992,Steve Henson,50,150
4759,1977,Rowland Garrett,50,155
7053,1983,Mike McGee,50,156
13796,1998,Chris Robinson,50,162
3543,1972,John Vallely,50,168
20381,2010,Nate Robinson,50,170
12352,1996,Matt Bullard,50,174
3004,1970,Bob Quick,50,175
8337,1987,Junior Bridgeman,50,175
1400,1959,Neil Johnston*,50,177
10142,1991,Anthony Frederick,50,177
20693,2011,Jeremy Evans,50,178
23806,2016,James Jones,50,178
16668,2004,Richie Frahm,50,183
22627,2014,Luc Mbah,50,184
23178,2015,Perry Jones,50,184
24186,2017,Omri Casspi,50,186
17438,2005,Alonzo Mourning*,50,187
3283,1971,John Vallely,50,191
23369,2015,Thomas Robinson,50,193
19812,2009,Thabo Sefolosha,50,194
22812,2014,Beno Udrih,50,200
16890,2004,Jannero Pargo,50,207
24388,2017,Tyus Jones,50,209
9296,1989,Shelton Jones,50,212
20037,2010,Daequan Cook,50,223
15120,2001,Derek Fisher,50,229
21456,2012,Shelvin Mack,50,230
5939,1980,Ollie Mack,50,234
23427,2015,Amar'e Stoudemire,50,248
19930,2010,Rafer Alston,50,262
14967,2001,Mahmoud Abdul-Rauf,50,266
16210,2003,Lindsey Hunter,50,280
24174,2017,Alec Burks,50,283
9545,1989,Danny Young,50,297
22907,2015,Will Barton,50,307
17887,2006,Grant Hill,50,318
10264,1991,Xavier McDaniel,50,327
22004,2013,John Lucas,50,333
23404,2015,Ish Smith,50,338
21052,2011,Marcus Thornton,50,359
15615,2002,Dell Curry,50,360
24091,2016,Nick Young,50,392
19122,2008,Ronald Murray,50,396
9098,1988,Leon Wood,50,400
20650,2011,Jordan Crawford,50,423
22743,2014,Ramon Sessions,50,578
12162,1995,Mark Price,50,757
6642,1982,Kevin Kunnert,51,49
15240,2001,Luc Longley,51,49
12955,1997,Yinka Dare,51,57
6090,1981,Darrell Allums,51,59
2035,1964,Bevo Nordmann,51,63
14580,2000,Bill Curley,51,64
9377,1989,Chuck Nevitt,51,65
14007,1999,Bruce Bowen,51,70
1064,1956,Jim Holstein,51,72
11313,1993,Darrell Walker,51,72
14081,1999,Andrew DeClercq,51,75
12151,1995,Tim Perry,51,76
331,1951,Art Burris,51,77
5943,1980,Steve Malovic,51,80
7788,1985,Billy Paultz,51,82
18684,2007,Jake Tsakalidis,51,84
24120,2017,Omer Asik,51,85
16,1950,Joe Bradley,51,87
20414,2010,DeShawn Stevenson,51,87
19879,2009,Henry Walker,51,88
18358,2007,Melvin Ely,51,89
6588,1982,Armond Hill,51,90
12422,1996,Doug Edwards,51,93
18290,2007,Dee Brown,51,94
2535,1968,Jim Fox,51,98
4353,1975,Walt Wesley,51,100
12384,1996,Tyrone Corbin,51,101
19758,2009,Johan Petro,51,102
6788,1982,Richard Washington,51,109
8555,1987,Ben Poquette,51,113
9354,1989,Mark McNamara,51,113
17382,2005,Maciej Lampe,51,115
7963,1986,Antoine Carr,51,116
17113,2005,Andre Barrett,51,118
16399,2003,Bobby Simmons,51,120
16215,2003,Jermaine Jackson,51,121
17909,2006,Jim Jackson,51,121
9356,1989,Todd Mitchell,51,123
15577,2002,Rick Brunson,51,125
22186,2013,Tyrus Thomas,51,125
14031,1999,Elden Campbell,51,126
10427,1991,Scott Williams,51,127
18727,2007,Justin Williams,51,131
2064,1964,Tom Thacker,51,132
8641,1987,Chris Washburn,51,132
23983,2016,JaKarr Sampson,51,134
15506,2002,Tariq Abdul-Wahad,51,135
5583,1979,Scott May,51,148
578,1952,Red Owens,51,150
4798,1977,Mo Howard,51,152
8735,1988,Norris Coleman,51,153
4278,1975,Willie Norwood,51,159
5157,1978,Robert Hawkins,51,163
1382,1959,Jack George,51,166
5587,1979,Ted McClain,51,166
10512,1992,Tony Brown,51,168
9301,1989,Randolph Keys,51,169
2440,1967,Bud Olsen,51,173
2543,1968,Johnny Green,51,177
23775,2016,Ersan Ilyasova,51,178
5211,1978,Mo Layton,51,182
4115,1975,Jim Barnett,51,183
7286,1984,Mike Dunleavy,51,191
8446,1987,Mike Holton,51,191
19756,2009,Morris Peterson,51,191
18660,2007,Kirk Snyder,51,192
23291,2015,Andrew Nicholson,51,194
19551,2009,Gerald Green,51,199
1799,1962,Jack Turner,51,200
18474,2007,Anthony Johnson,51,203
20860,2011,Acie Law,51,203
21951,2013,Orlando Johnson,51,203
24044,2016,Beno Udrih,51,205
13700,1998,Vernon Maxwell,51,210
21673,2012,Nick Young,51,214
23836,2016,David Lee,51,214
21712,2013,Leandro Barbosa,51,215
13064,1997,Fred Hoiberg,51,224
16331,2003,Kevin Ollie,51,231
18535,2007,Keith McLeod,51,231
16869,2004,Moochie Norris,51,234
17635,2005,Rodney White,51,236
20644,2011,Daequan Cook,51,239
23474,2015,T.J. Warren,51,245
12321,1996,Jon Barry,51,257
16166,2003,Drew Gooden,51,259
10531,1992,Rex Chapman,51,270
19771,2009,Vladimir Radmanovic,51,273
22203,2013,Beno Udrih,51,275
9918,1990,Michael Smith,51,327
16628,2004,Ricky Davis,51,336
12791,1996,Chris Webber,51,356
19594,2009,Larry Hughes,51,361
14095,1999,Joe Dumars*,51,428
14728,2000,Toni Kukoc,51,432
20273,2010,Kevin Martin,51,436
16617,2004,Marquis Daniels,51,477
7328,1984,Steve Hayes,52,57
20803,2011,Didier Ilunga-Mbenga,52,59
5736,1980,Marvin Barnes,52,64
22683,2014,Greg Oden,52,67
20920,2011,Eduardo Najera,52,69
13177,1997,Loren Meyer,52,78
431,1951,Chuck Mrazovich,52,85
17982,2006,Walter McCarty,52,88
16927,2004,Zeljko Rebraca,52,91
14050,1999,Keon Clark,52,93
7007,1983,Eddie Jordan,52,94
6678,1982,Hank McDowell,52,95
22181,2013,Kurt Thomas,52,97
17760,2006,Kelvin Cato,52,98
24655,2017,Okaro White,52,98
20746,2011,Marcin Gortat,52,100
12225,1995,Larry Stewart,52,102
4903,1977,Jim Price,52,105
14795,2000,Gheorghe Muresan,52,105
18068,2006,Josh Powell,52,110
9739,1990,Steve Johnson,52,117
12018,1995,Steve Henson,52,119
5322,1978,Robert Smith,52,121
17068,2004,Loren Woods,52,121
349,1951,Ray Corley,52,122
4111,1975,Gus Bailey,52,122
20400,2010,Bobby Simmons,52,122
18016,2006,Bostjan Nachbar,52,126
457,1951,Tex Ritter,52,127
6365,1981,Anthony Roberts,52,127
12841,1997,Rafael Addison,52,128
7712,1985,Edgar Jones,52,129
9631,1990,Charles Davis,52,130
15089,2001,Todd Day,52,132
15458,2001,Gary Trent,52,133
20419,2010,DaJuan Summers,52,134
10136,1991,Dave Feitl,52,137
21213,2012,Matt Carroll,52,142
14594,2000,Mark Davis,52,143
24677,2017,Jeff Withey,52,146
1259,1958,Bo Erias,52,148
2088,1965,Bucky Bockhorn,52,148
21979,2013,Doron Lamb,52,154
36,1950,Leroy Chollet,52,157
5385,1979,Lucius Allen,52,157
24524,2017,Cameron Payne,52,160
6334,1981,Carl Nicks,52,165
14047,1999,Pete Chilcutt,52,166
23054,2015,Jordan Farmar,52,167
21139,2012,Chris Andersen,52,168
22293,2014,Luke Babbitt,52,170
6003,1980,Anthony Roberts,52,177
12930,1997,Pete Chilcutt,52,182
10924,1993,Willie Anderson,52,183
16343,2003,Cherokee Parks,52,188
3592,1973,Dick Barnett,52,192
14150,1999,Lucious Harris,52,193
24676,2017,Justise Winslow,52,196
23282,2015,Mike Muscala,52,197
10738,1992,Eric Murdock,52,203
