,Year,Player,PF,PTS
4670,1977,Butch Beard,137,371
24552,2017,Willie Reed,137,374
2385,1967,Wayne Embry*,137,376
3987,1974,Don May,137,393
2892,1970,Fred Carter,137,394
13762,1998,Will Perdue,137,394
1883,1963,Clyde Lovellette*,137,395
22863,2014,Tyler Zeller,137,399
14299,1999,Michael Olowokandi,137,401
23716,2016,P.J. Hairston,137,410
22878,2015,Al-Farouq Aminu,137,412
1743,1962,Willie Jones,137,418
16219,2003,Marc Jackson,137,421
1370,1959,Boo Ellis,137,428
11460,1994,Terry Cummings,137,429
543,1952,Wah Wah,137,430
19896,2009,Chris Wilcox,137,447
8690,1988,Richard Anderson,137,448
19886,2009,Earl Watson,137,448
18440,2007,Steven Hunter,137,450
16651,2004,Howard Eisley,137,460
10375,1991,John Starks,137,466
3164,1971,Art Harris,137,467
23451,2015,Anthony Tolliver,137,482
6975,1983,Clemon Johnson,137,493
21667,2012,Metta World,137,493
3202,1971,Clyde Lee,137,499
5366,1978,Chuck Williams,137,530
18979,2008,Jarvis Hayes,137,552
23964,2016,Austin Rivers,137,593
12491,1996,Ron Harper,137,594
21495,2012,Byron Mullens,137,606
15405,2001,Arvydas Sabonis*,137,616
22994,2015,Jae Crowder,137,628
23140,2015,Dwight Howard,137,646
20399,2010,Ramon Sessions,137,674
20520,2011,Ryan Anderson,137,681
13831,1998,Rony Seikaly,137,704
13695,1998,Jamal Mashburn,137,723
19885,2009,C.J. Watson,137,730
15865,2002,Anthony Peeler,137,737
9012,1988,Otis Smith,137,746
13768,1998,Eric Piatkowski,137,760
14486,2000,Chucky Atkins,137,782
1222,1957,Gene Shue,137,787
24684,2017,Nick Young,137,791
2646,1968,Bob Weiss,137,803
21469,2012,O.J. Mayo,137,833
6075,1980,John Williamson,137,845
16236,2003,Eddie Jones,137,869
21369,2012,Jrue Holiday,137,879
3017,1970,Cazzie Russell,137,894
12309,1996,Greg Anthony,137,967
11237,1993,Mitch Richmond*,137,987
8402,1987,Julius Erving*,137,1005
20813,2011,Antawn Jamison,137,1010
2630,1968,Nate Thurmond*,137,1046
1001,1955,Paul Seymour,137,1050
21681,2013,Arron Afflalo,137,1057
21631,2012,John Wall,137,1076
13963,1999,Shareef Abdur-Rahim,137,1152
5198,1978,Billy Knight,137,1215
18382,2007,Pau Gasol,137,1226
19275,2008,Dwyane Wade,137,1254
14485,2000,Darrell Armstrong,137,1330
18588,2007,Tony Parker,137,1429
9141,1989,Rolando Blackman,137,1534
23654,2016,Kevin Durant,137,2029
8631,1987,Kiki Vandeweghe,137,2122
7065,1983,Paul Mokeski,138,162
7429,1984,Ed Nealy,138,174
18204,2006,Aaron Williams,138,222
378,1951,Bob Harris,138,241
19424,2009,Kwame Brown,138,243
13940,1998,Hot Rod,138,255
17089,2005,Shandon Anderson,138,255
1427,1959,Jack Parr,138,262
9319,1989,Keith Lee,138,271
20116,2010,Marcin Gortat,138,293
6647,1982,Tom LaGarde,138,312
15223,2001,Brevin Knight,138,324
8320,1987,Kent Benson,138,329
20026,2010,Tyson Chandler,138,333
11742,1994,Bryon Russell,138,334
2324,1966,Gene Tormohlen,138,342
2499,1968,Bill Bradley*,138,360
470,1951,Paul Seymour,138,367
17602,2005,Jacque Vaughn,138,373
7418,1984,Mark McNamara,138,388
8710,1988,Muggsy Bogues,138,393
3363,1972,Jim Davis,138,394
15498,2001,Kevin Willis,138,413
24129,2017,Matt Barnes,138,413
17414,2005,Keith McLeod,138,416
21182,2012,Trevor Booker,138,419
5572,1979,Ron Lee,138,420
11881,1995,Anthony Bowie,138,427
16451,2003,Earl Watson,138,433
832,1954,Billy Kenville,138,434
16758,2004,Anthony Johnson,138,450
17311,2005,Robert Horry,138,451
13052,1997,Ron Harper,138,480
3800,1973,Bud Stallworth,138,482
5342,1978,Wally Walker,138,483
23390,2015,Iman Shumpert,138,496
8308,1987,Mark Alarie,138,503
5327,1978,Larry Steele,138,520
17906,2006,Jarrett Jack,138,526
21059,2011,Evan Turner,138,565
19387,2009,Charlie Bell,138,587
10076,1991,Maurice Cheeks,138,592
17232,2005,Predrag Drobnjak,138,597
11239,1993,Fred Roberts,138,599
4409,1976,Gary Brokaw,138,633
15192,2001,Marc Jackson,138,633
20353,2010,Mickael Pietrus,138,651
12425,1996,Craig Ehlo,138,669
24267,2017,Channing Frye,138,676
16877,2004,Mehmet Okur,138,682
24661,2017,Deron Williams,138,701
4544,1976,John Mengelt,138,720
22036,2013,C.J. Miles,138,729
22085,2013,Patrick Patterson,138,737
23081,2015,Manu Ginobili,138,738
13866,1998,John Stockton*,138,770
17977,2006,Kevin Martin,138,778
10576,1992,Kevin Edwards,138,819
13305,1997,Dennis Scott,138,823
21586,2012,Amar'e Stoudemire,138,823
20051,2010,Carlos Delfino,138,825
19268,2008,Beno Udrih,138,834
23984,2016,Dennis Schroder,138,879
13014,1997,Chris Gatling,138,891
24343,2017,Al Horford,138,952
6978,1983,Eddie Johnson,138,978
3331,1972,Dave Bing*,138,1016
22016,2013,Kevin Martin,138,1077
8684,1988,Michael Adams,138,1137
21520,2012,Chris Paul,138,1189
21311,2012,Rudy Gay,138,1232
13001,1997,Michael Finley,138,1249
15018,2001,Terrell Brandon,138,1250
18546,2007,Mike Miller,138,1293
3835,1973,Jerry West*,138,1575
7943,1986,Rolando Blackman,138,1762
9522,1989,Dominique Wilkins*,138,2099
193,1950,Mike Novak,139,99
10494,1992,Manute Bol,139,110
19360,2009,Joel Anthony,139,144
13548,1998,Chris Dudley,139,157
6644,1982,Sam Lacey,139,161
12535,1996,Randolph Keys,139,232
7715,1985,Ozell Jones,139,245
7435,1984,Jawann Oldham,139,259
20652,2011,Dante Cunningham,139,284
15972,2002,Jake Voskuhl,139,296
858,1954,Jim Neal,139,312
9097,1988,Joe Wolf,139,320
22200,2013,Ekpe Udoh,139,323
23522,2016,Cole Aldrich,139,328
15250,2001,Jamaal Magloire,139,339
11207,1993,Will Perdue,139,341
7205,1983,Bill Willoughby,139,343
4157,1975,Barry Clemens,139,381
15460,2001,Hedo Turkoglu,139,391
7190,1983,Jerome Whitehead,139,400
22443,2014,Jeremy Evans,139,401
61,1950,Johnny Ezersky,139,413
19383,2009,Nicolas Batum,139,426
17297,2005,Devin Harris,139,436
10558,1992,Bison Dele,139,437
3801,1973,Dave Stallworth,139,438
4558,1976,Willie Norwood,139,444
15315,2001,Dikembe Mutombo*,139,445
4787,1977,Gar Heard,139,446
46,1950,Chink Crossin,139,449
6462,1982,Mike Bantom,139,458
17198,2005,Brian Cook,139,458
9337,1989,Dan Majerle,139,467
3595,1973,Butch Beard,139,482
2391,1967,Johnny Green,139,502
4664,1977,Marvin Barnes,139,510
13688,1998,Dan Majerle,139,519
19960,2010,Shane Battier,139,534
2744,1969,Bill Hewitt,139,539
5650,1979,Alvin Scott,139,544
24444,2017,T.J. McConnell,139,556
12240,1995,Sedale Threatt,139,558
15187,2001,Bobby Jackson,139,566
21611,2012,Hedo Turkoglu,139,576
7174,1983,Darnell Valentine,139,587
11524,1994,Gary Grant,139,588
8212,1986,Ricky Sobers,139,603
21985,2013,Courtney Lee,139,612
14971,2001,Courtney Alexander,139,618
12170,1995,Khalid Reeves,139,619
15193,2001,Mark Jackson,139,631
3505,1972,Flynn Robinson,139,635
17491,2005,Mickael Pietrus,139,636
15189,2001,Jim Jackson,139,643
7138,1983,Randy Smith,139,663
18291,2007,Devin Brown,139,670
11209,1993,Sam Perkins,139,673
2112,1965,Johnny Egan,139,678
1398,1959,Hot Rod,139,682
4463,1976,Herm Gilliam,139,688
18572,2007,Shaquille O'Neal*,139,690
12647,1996,Anthony Peeler,139,710
19702,2009,Mike Miller,139,722
3466,1972,Earl Monroe*,139,749
13229,1997,Robert Pack,139,771
14323,1999,Paul Pierce,139,791
16296,2003,Mike Miller,139,806
16944,2004,Jalen Rose,139,810
21760,2013,Caron Butler,139,813
18996,2008,Larry Hughes,139,827
24351,2017,Serge Ibaka,139,846
24042,2016,Evan Turner,139,854
20679,2011,Jared Dudley,139,867
24391,2017,Frank Kaminsky,139,874
5448,1979,Doug Collins,139,917
22571,2014,Terrence Jones,139,921
6010,1980,John Roche,139,932
18639,2007,Brandon Roy,139,955
18757,2008,Rafer Alston,139,969
21781,2013,Darren Collison,139,972
7738,1985,John Long,139,973
12124,1995,Eric Murdock,139,977
21723,2013,Nicolas Batum,139,1047
23155,2015,Al Jefferson,139,1082
22986,2015,Mike Conley,139,1107
16866,2004,Steve Nash,139,1128
23431,2015,Jeff Teague,139,1162
18925,2008,Pau Gasol,139,1246
18265,2007,Mike Bibby,139,1403
24617,2017,Klay Thompson,139,1742
8495,1987,Moses Malone*,139,1760
15800,2002,Tracy McGrady,139,1948
19611,2009,LeBron James,139,2304
15369,2001,Mark Pope,140,151
10451,1992,Mark Acres,140,208
17331,2005,Royal Ivey,140,220
825,1954,Jim Holstein,140,240
14414,1999,Robert Traylor,140,259
14300,1999,Greg Ostertag,140,273
13122,1997,Andrew Lang,140,274
18171,2006,Jacque Vaughn,140,274
20609,2011,Marcus Camby,140,277
10015,1991,Greg Anderson,140,292
1036,1956,Chuck Cooper,140,302
22920,2015,Bismack Biyombo,140,304
11817,1994,Jayson Williams,140,322
19156,2008,Zaza Pachulia,140,322
6867,1983,M.L. Carr,140,333
11497,1994,Pervis Ellison,140,344
14359,1999,Rodney Rogers,140,348
8177,1986,Charles Pittman,140,353
15676,2002,Kendall Gill,140,372
3727,1973,Jim McDaniels,140,378
9,1950,Charlie Black,140,382
3290,1971,Cornell Warner,140,391
3811,1973,John Trapp,140,419
1981,1964,Mike Farmer,140,424
64,1950,Bob Feerick,140,483
9922,1990,Rory Sparrow,140,487
23844,2016,Shaun Livingston,140,488
24455,2017,Rodney McGruder,140,497
15857,2002,Scott Padgett,140,500
17356,2005,DerMarr Johnson,140,503
13871,1998,Erick Strickland,140,511
19215,2008,Bobby Simmons,140,531
23876,2016,Ben McLemore,140,531
19047,2008,Fred Jones,140,532
12585,1996,Tony Massenburg,140,539
13280,1997,Carlos Rogers,140,551
6291,1981,John Lucas,140,555
13610,1998,Derek Harper,140,566
22505,2014,Maurice Harkless,140,592
11362,1994,Danny Ainge,140,606
20606,2011,Andrew Bynum,140,612
5921,1980,Mark Landsberger,140,614
16476,2003,Shammond Williams,140,627
7750,1985,Cedric Maxwell,140,633
23183,2015,Chris Kaman,140,638
1266,1958,Jack George,140,642
12619,1996,Eric Murdock,140,647
14833,2000,Eric Piatkowski,140,654
2238,1966,Joe Caldwell,140,655
19379,2009,Brandon Bass,140,686
15249,2001,Corey Maggette,140,690
12612,1996,Chris Morris,140,691
12653,1996,Elliot Perry,140,697
21730,2013,Marco Belinelli,140,702
22427,2014,Boris Diaw,140,717
19096,2008,Roger Mason,140,724
24390,2017,Cory Joseph,140,740
21715,2013,Harrison Barnes,140,748
13645,1998,Avery Johnson,140,766
24164,2017,Malcolm Brogdon,140,767
1177,1957,Slick Leonard*,140,792
6761,1982,Jim Spanarkel,140,827
15863,2002,Ruben Patterson,140,839
9008,1988,Kenny Smith,140,841
11360,1994,Michael Adams,140,849
19368,2009,D.J. Augustin,140,850
22908,2015,Brandon Bass,140,866
19918,2009,Nick Young,140,892
16968,2004,DeShawn Stevenson,140,909
22289,2014,D.J. Augustin,140,909
23196,2015,Kyle Korver,140,911
14038,1999,Vince Carter,140,913
2820,1969,Cazzie Russell,140,915
10921,1993,Kenny Anderson,140,927
23927,2016,Jahlil Okafor,140,928
9555,1990,Nick Anderson,140,931
17595,2005,Hedo Turkoglu,140,937
17016,2004,Dwyane Wade,140,991
14949,2000,Jason Williams,140,999
23310,2015,Chandler Parsons,140,1037
10818,1992,Byron Scott,140,1218
23220,2015,Kevin Love,140,1228
4688,1977,Fred Brown,140,1236
21040,2011,Jason Terry,140,1293
22213,2013,Dwyane Wade,140,1463
17330,2005,Allen Iverson*,140,2302
4585,1976,Dale Schlueter,141,176
8250,1986,Pete Verhoeven,141,206
23019,2015,Dewayne Dedmon,141,216
19028,2008,Amir Johnson,141,221
10930,1993,Keith Askins,141,227
23359,2015,Andre Roberson,141,228
2198,1965,John Thompson*,141,230
3324,1972,Dennis Awtrey,141,245
602,1952,Chuck Share,141,248
18377,2007,Dan Gadzuric,141,258
23112,2015,Tyler Hansbrough,141,270
11218,1993,Gary Plummer,141,281
4382,1976,Jim Ard,141,285
4810,1977,George Johnson,141,296
4434,1976,Dwight Davis,141,300
8947,1988,Kurt Nimphius,141,316
15270,2001,Jelani McCoy,141,317
18678,2007,Kenny Thomas,141,331
10260,1991,George McCloud,141,343
7351,1984,Reggie Johnson,141,346
7888,1985,Ennis Whatley,141,349
932,1955,George Dempsey,141,352
4783,1977,Steve Hawes,141,361
16479,2003,Walt Williams,141,363
16856,2004,Dikembe Mutombo*,141,363
3417,1972,Luke Jackson,141,366
12988,1997,Howard Eisley,141,368
6875,1983,Lester Conner,141,369
6173,1981,T.R. Dunn,141,371
2373,1967,Larry Costello,141,380
877,1954,Fred Schaus,141,387
5519,1979,Gar Heard,141,395
10236,1991,Jim Les,141,395
13171,1997,Derrick McKey,141,400
8512,1987,Kevin McKenna,141,401
6333,1981,Carl Nicks,141,415
12370,1996,Doug Christie,141,415
5063,1978,Corky Calhoun,141,416
18089,2006,Bernard Robinson,141,422
9142,1989,Muggsy Bogues,141,423
12705,1996,Sean Rooks,141,424
308,1950,Murray Wier,141,429
8479,1987,Larry Krystkowiak,141,451
9228,1989,Tom Garrick,141,454
10925,1993,Greg Anthony,141,459
12049,1995,Adam Keefe,141,461
2582,1968,Bob Love,141,464
5805,1980,Pat Cummings,141,468
16385,2003,Arvydas Sabonis*,141,476
7597,1985,Kenny Carr,141,498
19773,2009,Anthony Randolph,141,499
4440,1976,Derrek Dickey,141,502
24610,2017,Garrett Temple,141,506
3367,1972,Mike Davis,141,564
7806,1985,Fred Roberts,141,567
4314,1975,Phil Smith,141,569
11078,1993,Rod Higgins,141,571
23704,2016,Danny Green,141,572
5937,1980,Maurice Lucas,141,588
12477,1996,A.C. Green,141,612
7683,1985,Mike Holton,141,624
23444,2015,Hollis Thompson,141,626
1204,1957,Dave Piontek,141,636
16364,2003,Zach Randolph,141,650
11098,1993,Avery Johnson,141,656
15333,2001,Hakeem Olajuwon*,141,689
21969,2013,Chris Kaman,141,693
12552,1996,Tim Legler,141,726
10131,1991,Alex English*,141,763
23671,2016,Raymond Felton,141,763
24411,2017,Courtney Lee,141,835
23688,2016,Marc Gasol,141,861
23906,2016,Emmanuel Mudiay,141,872
21671,2012,Nick Young,141,879
24160,2017,Avery Bradley,141,894
20266,2010,Shawn Marion,141,898
21308,2012,Kevin Garnett,141,947
5562,1979,Mitch Kupchak,141,961
10931,1993,Stacey Augmon,141,1021
16016,2003,Derek Anderson,141,1057
10617,1992,A.C. Green,141,1116
19618,2009,Al Jefferson,141,1156
11493,1994,Dale Ellis,141,1170
4538,1976,Jim McMillian,141,1172
6115,1981,Fred Brown,141,1206
22385,2014,Mike Conley,141,1256
12876,1997,Mookie Blaylock,141,1354
13091,1997,Kevin Johnson,141,1410
19854,2009,Jason Terry,141,1447
23012,2015,Anthony Davis,141,1656
11019,1993,Joe Dumars*,141,1809
9978,1990,Dominique Wilkins*,141,2138
1562,1960,Chuck Share,142,171
7590,1985,Quinn Buckner,142,180
2684,1969,Nate Bowman,142,193
13379,1997,Mark West,142,227
11624,1994,Brad Lohaus,142,270
18134,2006,Robert Swift,142,301
12179,1995,Doc Rivers,142,302
16641,2004,Michael Doleac,142,325
19223,2008,Jason Smith,142,340
6519,1982,Earl Cureton,142,349
14228,1999,George Lynch,142,356
1115,1956,Connie Simmons,142,366
23981,2016,JaKarr Sampson,142,374
21346,2012,Udonis Haslem,142,385
19441,2009,Anthony Carter,142,412
15681,2002,Adrian Griffin,142,415
3243,1971,Bob Quick,142,448
7945,1986,Sam Bowie,142,448
12964,1997,Terry Dehere,142,470
16434,2003,Gary Trent,142,476
5631,1979,Anthony Roberts,142,498
1061,1956,Dick Hemric,142,499
5078,1978,Jim Cleamons,142,511
8092,1986,Edgar Jones,142,513
24170,2017,Jaylen Brown,142,515
24069,2016,David West,142,554
10756,1992,John Paxson,142,555
7607,1985,Steve Colter,142,556
21135,2012,Tony Allen,142,568
14637,2000,Chris Gatling,142,598
21518,2012,Chandler Parsons,142,599
7116,1983,Lorenzo Romar,142,620
14652,2000,Richard Hamilton,142,639
12184,1995,James Robinson,142,651
17938,2006,Fred Jones,142,651
6697,1982,Calvin Murphy*,142,655
18900,2008,Maurice Evans,142,664
7055,1983,Billy McKinney,142,668
17749,2006,Rasual Butler,142,685
16826,2004,Aaron McKie,142,689
7436,1984,Louis Orr,142,697
17939,2006,James Jones,142,699
4257,1975,Jon McGlocklin,142,709
9462,1989,Rod Strickland,142,721
10616,1992,Jeff Grayer,142,739
20754,2011,Jeff Green,142,744
17836,2006,Steve Francis,142,747
23885,2016,C.J. Miles,142,753
10725,1992,Derrick McKey,142,777
14422,1999,Antoine Walker,142,784
12150,1995,Elliot Perry,142,795
906,1954,Max Zaslofsky,142,811
20236,2010,Jason Kidd,142,824
23520,2016,Arron Afflalo,142,909
12226,1995,Bryant Stith,142,911
11966,1995,Dale Ellis,142,918
13663,1998,Jason Kidd,142,954
5307,1978,John Shumate,142,958
24114,2017,Ryan Anderson,142,979
6612,1982,Marques Johnson,142,990
21324,2012,Marcin Gortat,142,1017
23615,2016,Darren Collison,142,1035
22544,2014,Reggie Jackson,142,1047
23979,2016,D'Angelo Russell,142,1054
5424,1979,Fred Brown,142,1075
15895,2002,Quentin Richardson,142,1076
7159,1983,David Thompson*,142,1190
11529,1994,A.C. Green,142,1204
20429,2010,Jason Terry,142,1280
9232,1989,Mike Gminski,142,1409
2690,1969,Wilt Chamberlain*,142,1664
8328,1987,Rolando Blackman,142,1676
9826,1990,Chris Mullin*,142,1956
11022,1993,Mark Eaton,143,177
7272,1984,Earl Cureton,143,193
85,1950,Al Guokas,143,214
5705,1979,Slick Watts,143,225
1250,1958,Walt Davis,143,231
693,1953,Bob Lochmueller,143,232
6275,1981,Kevin Kunnert,143,244
169,1950,Ed Mikan,143,270
18078,2006,Theo Ratliff,143,270
6540,1982,John Duren,143,272
12597,1996,Nate McMillan,143,275
450,1951,Ed Peterson,143,279
1626,1961,Darrall Imhoff,143,293
16446,2003,Samaki Walker,143,296
8952,1988,Jawann Oldham,143,297
10239,1991,Cliff Levingston,143,314
3643,1973,Terry Driscoll,143,323
8749,1988,Pat Cummings,143,339
2791,1969,Erwin Mueller,143,377
5201,1978,John Kuester,143,377
18385,2007,Devean George,143,381
7218,1984,Danny Ainge,143,384
24627,2017,P.J. Tucker,143,401
2135,1965,Wayne Hightower,143,405
2389,1967,Dave Gambee,143,407
15055,2001,Keon Clark,143,413
20871,2011,Robin Lopez,143,432
6551,1982,Chris Ford,143,435
21814,2013,Boris Diaw,143,435
2372,1967,Barry Clemens,143,440
12230,1995,Derek Strong,143,441
7803,1985,Clint Richardson,143,443
399,1951,Duane Klueh,143,449
11954,1995,Blue Edwards,143,459
17099,2005,Carlos Arroyo,143,461
3646,1973,Joe Ellis,143,467
7324,1984,Derek Harper,143,469
14224,1999,Grant Long,143,489
14285,1999,Tyrone Nesby,143,503
7056,1983,Tom McMillen,143,504
13917,1998,Eric Washington,143,511
14483,2000,Greg Anthony,143,514
2367,1967,Jerry Chambers,143,516
1540,1960,Dave Piontek,143,518
21048,2011,Al Thornton,143,524
17319,2005,Juwan Howard,143,585
2437,1967,Don Nelson*,143,595
3362,1972,Charlie Davis,143,600
22127,2013,Ricky Rubio,143,608
22783,2014,Mirza Teletovic,143,622
11137,1993,Marcus Liberty,143,628
20013,2010,Will Bynum,143,628
17779,2006,Marquis Daniels,143,634
24183,2017,DeMarre Carroll,143,638
973,1955,Dick McGuire*,143,647
90,1950,Bruce Hale,143,657
22586,2014,Jeremy Lamb,143,665
20608,2011,Jose Calderon,143,669
20756,2011,Willie Green,143,672
22130,2013,John Salmons,143,672
18708,2007,Chris Webber,143,684
7444,1984,Ricky Pierce,143,685
1212,1957,Bill Russell*,143,706
8706,1988,Otis Birdsong,143,730
2491,1968,John Barnhill,143,744
12146,1995,Anthony Peeler,143,756
22820,2014,Greivis Vasquez,143,758
20659,2011,Baron Davis,143,760
24058,2016,Dion Waiters,143,762
14352,1999,David Robinson*,143,775
16233,2003,Joe Johnson,143,803
9740,1990,Vinnie Johnson,143,804
3677,1973,Clem Haskins,143,808
8797,1988,Armen Gilliam,143,815
11579,1994,Eddie Johnson,143,836
24563,2017,Terrence Ross,143,858
5084,1978,Charlie Criss,143,874
4996,1977,John Williamson,143,875
22512,2014,Tobias Harris,143,893
4638,1976,Gus Williams,143,903
9557,1990,Ron Anderson,143,926
23727,2016,Gary Harris,143,932
9875,1990,Pooh Richardson,143,938
9914,1990,Kenny Smith,143,943
18714,2007,David West,143,949
23149,2015,Jarrett Jack,143,957
230,1950,Jim Pollard*,143,973
17970,2006,Stephon Marbury,143,977
8162,1986,Norm Nixon,143,979
22090,2013,Nikola Pekovic,143,1011
20698,2011,Tyreke Evans,143,1012
11651,1994,Vernon Maxwell,143,1023
22088,2013,Chris Paul,143,1186
8155,1986,Calvin Natt,143,1218
16367,2003,Michael Redd,143,1241
15815,2002,Reggie Miller*,143,1304
18505,2007,Rashard Lewis,143,1342
7021,1983,Billy Knight,143,1370
16413,2003,Peja Stojakovic,143,1380
9734,1990,Kevin Johnson,143,1665
23781,2016,LeBron James,143,1920
2366,1967,Wilt Chamberlain*,143,1956
21827,2013,Kevin Durant,143,2280
11105,1993,Charles Jones,144,88
21584,2012,Greg Stiemsma,144,161
848,1954,Alfred McGuire*,144,174
19508,2009,Francisco Elson,144,200
8531,1987,Ed Nealy,144,223
21060,2011,Ekpe Udoh,144,236
6893,1983,Earl Cureton,144,249
16815,2004,Tony Massenburg,144,251
8541,1987,Mark Olberding,144,254
17406,2005,Walter McCarty,144,260
9972,1990,Bill Wennington,144,270
16282,2003,Tony Massenburg,144,273
9155,1989,Mark Bryant,144,280
7326,1984,Steve Hawes,144,290
1391,1959,Steve Hamilton,144,292
21599,2012,Tyrus Thomas,144,304
5399,1979,Marvin Barnes,144,309
3641,1973,Terry Driscoll,144,323
7794,1985,Charles Pittman,144,323
18362,2007,Reggie Evans,144,325
480,1951,Ernie Vandeweghe,144,338
12502,1996,Tyrone Hill,144,341
12672,1996,Theo Ratliff,144,341
13167,1997,Xavier McDaniel,144,346
19343,2009,Arron Afflalo,144,363
23134,2015,Kirk Hinrich,144,377
403,1951,Ed Leede,144,378
12259,1995,David Wesley,144,378
9749,1990,Tim Kempton,144,383
1216,1957,Dick Schnittker,144,386
3538,1972,George Trapp,144,393
19444,2009,Tyson Chandler,144,397
13436,1998,Stacey Augmon,144,403
10697,1992,Brad Lohaus,144,408
13942,1998,Jerome Williams,144,410
23091,2015,Jerami Grant,144,411
24295,2017,Jerami Grant,144,421
12589,1996,Lee Mayberry,144,422
4472,1976,Glenn Hansen,144,431
17455,2005,Ira Newble,144,438
9240,1989,Sylvester Gray,144,440
11757,1994,Charles Smith,144,447
20480,2010,Damien Wilkins,144,451
22795,2014,Hollis Thompson,144,461
16744,2004,Casey Jacobsen,144,466
21822,2013,Andre Drummond,144,476
9886,1990,Scott Roth,144,486
18416,2007,Trenton Hassell,144,512
17084,2005,Chris Andersen,144,513
17652,2005,Corliss Williamson,144,518
17355,2005,Anthony Johnson,144,532
18200,2006,Damien Wilkins,144,536
24561,2017,Rajon Rondo,144,538
19858,2009,Tim Thomas,144,545
20440,2010,Al Thornton,144,548
22892,2015,Omer Asik,144,557
6082,1980,Larry Wright,144,558
22931,2015,Trevor Booker,144,567
18942,2008,Drew Gooden,144,574
18817,2008,Devin Brown,144,586
19540,2009,Drew Gooden,144,605
21887,2013,Maurice Harkless,144,625
19638,2009,Jason Kapono,144,654
469,1951,George Senesky,144,679
5062,1978,Don Buse,144,686
11003,1993,Lloyd Daniels,144,701
1119,1956,Jack Stephens,144,743
13051,1997,Derek Harper,144,753
24595,2017,Nik Stauskas,144,756
8792,1988,Sleepy Floyd,144,774
2320,1966,Rod Thorn,144,780
16570,2004,Kwame Brown,144,805
4622,1976,Bill Walton*,144,823
22503,2014,Tim Hardaway,144,824
16681,2004,Gordan Giricek,144,827
18397,2007,Willie Green,144,839
12476,1996,Horace Grant,144,847
13384,1997,Gerald Wilkins,144,848
1625,1961,Hot Rod,144,869
19222,2008,J.R. Smith,144,907
11924,1995,Dell Curry,144,935
20725,2011,Danilo Gallinari,144,970
17622,2005,Chris Webber,144,978
20878,2011,Shawn Marion,144,999
13508,1998,Derrick Coleman,144,1040
12522,1996,Kevin Johnson,144,1047
16775,2004,Kerry Kittles,144,1072
21123,2011,Nick Young,144,1115
11395,1994,Mookie Blaylock,144,1118
10206,1991,Eddie Johnson,144,1151
21326,2012,Danny Granger,144,1159
9721,1990,Jeff Hornacek,144,1179
17308,2005,Grant Hill,144,1317
17234,2005,Tim Duncan,144,1342
8754,1988,Adrian Dantley*,144,1380
15651,2002,Michael Finley,144,1424
15432,2001,Peja Stojakovic,144,1529
18854,2008,Jamal Crawford,144,1645
12364,1996,Cedric Ceballos,144,1656
16654,2004,Francisco Elson,145,218
13008,1997,Greg Foster,145,278
8743,1988,Wayne Cooper,145,286
4612,1976,Nate Thurmond*,145,298
293,1950,Gene Vance,145,306
11166,1993,Oliver Miller,145,313
18095,2006,Malik Rose,145,318
14162,1999,Tyrone Hill,145,325
21174,2012,Bismack Biyombo,145,327
3065,1970,George Wilson,145,358
396,1951,Noble Jorgensen,145,382
16487,2003,Vincent Yarbrough,145,406
934,1955,Dick Farley,145,408
8365,1987,Pat Cummings,145,423
21094,2011,Chris Wilcox,145,424
21054,2011,Anthony Tolliver,145,434
22578,2014,Michael Kidd-Gilchrist,145,448
22365,2014,Kentavious Caldwell-Pope,145,470
23609,2016,Tyson Chandler,145,472
2863,1969,George Wilson,145,475
20148,2010,Brendan Haywood,145,478
15600,2002,Speedy Claxton,145,480
22372,2014,Tyson Chandler,145,480
20178,2010,Kris Humphries,145,487
15464,2001,Jacque Vaughn,145,498
11847,1995,Victor Alexander,145,502
22193,2013,P.J. Tucker,145,506
7454,1984,Clint Richardson,145,521
9787,1990,Brad Lohaus,145,522
2441,1967,Ron Reed,145,525
4546,1976,Dave Meyers,145,531
21817,2013,Toney Douglas,145,534
14282,1999,Dikembe Mutombo*,145,541
3578,1972,Charlie Yelverton,145,545
5823,1980,T.R. Dunn,145,564
21283,2012,Derrick Favors,145,570
9051,1988,Sam Vincent,145,573
8844,1988,Dennis Hopson,145,587
15725,2002,Jim Jackson,145,589
18973,2008,Udonis Haslem,145,589
13034,1997,A.C. Green,145,597
18591,2007,Sasha Pavlovic,145,604
15947,2002,Erick Strickland,145,606
9780,1990,Todd Lichti,145,630
8443,1987,Rod Higgins,145,631
7186,1983,Scott Wedman,145,634
13427,1998,Shandon Anderson,145,681
13737,1998,Steve Nash,145,691
3409,1972,Fred Hilton,145,708
11027,1993,Mario Elie,145,708
11377,1994,Vincent Askew,145,727
474,1951,Belus Smawley,145,731
1290,1958,Slick Leonard*,145,737
1823,1963,Al Butler,145,738
17693,2006,Leandro Barbosa,145,744
22072,2013,Emeka Okafor,145,765
24416,2017,Jon Leuer,145,767
21633,2012,Gerald Wallace,145,800
23088,2015,Eric Gordon,145,818
21589,2012,Jeff Teague,145,831
14432,1999,Chris Webber,145,839
11465,1994,Brad Daugherty,145,848
10571,1992,Ledell Eackles,145,856
19750,2009,Anthony Parker,145,857
23095,2015,Gerald Green,145,884
22331,2014,Avery Bradley,145,891
22351,2014,Trey Burke,145,895
15722,2002,Bobby Jackson,145,896
10746,1992,Ken Norman,145,929
15814,2002,Mike Miller,145,956
